Type,Start,End,Duration,Start Conditions,Start Location,End Conditions,Notes,aStart,aEnd,timeToStart,timeToEnd
feed,2021-08-26T00:37Z,2021-08-26T00:55Z,00:18,,breast,00:18L,,2021-08-25T15:37Z,2021-08-25T15:55Z,24.616666666666667,24.916666666666668
sleep,2021-08-26T00:55Z,2021-08-26T02:20Z,,,,,,2021-08-25T15:55Z,2021-08-25T17:20Z,24.916666666666668,26.333333333333332
feed,2021-08-26T02:20Z,2021-08-26T02:30Z,00:09,00:09R,breast,,,2021-08-25T17:20Z,2021-08-25T17:30Z,26.333333333333332,26.5
sleep,2021-08-26T02:30Z,2021-08-26T02:51Z,,,,,,2021-08-25T17:30Z,2021-08-25T17:51Z,26.5,26.85
feed,2021-08-26T02:51Z,2021-08-26T03:06Z,00:15,,breast,00:15L,,2021-08-25T17:51Z,2021-08-25T18:06Z,26.85,27.1
sleep,2021-08-26T03:06Z,2021-08-26T05:53Z,,,,,,2021-08-25T18:06Z,2021-08-25T20:53Z,27.1,29.883333333333333
feed,2021-08-26T05:53Z,2021-08-26T06:05Z,00:11,00:11R,breast,,,2021-08-25T20:53Z,2021-08-25T21:05Z,29.883333333333333,30.083333333333332
sleep,2021-08-26T06:05Z,2021-08-26T07:04Z,,,,,,2021-08-25T21:05Z,2021-08-25T22:04Z,30.083333333333332,31.066666666666666
feed,2021-08-26T07:04Z,2021-08-26T07:27Z,00:23,,breast,00:23L,,2021-08-25T22:04Z,2021-08-25T22:27Z,31.066666666666666,31.45
sleep,2021-08-26T07:27Z,2021-08-26T08:03Z,,,,,,2021-08-25T22:27Z,2021-08-25T23:03Z,31.45,32.05
feed,2021-08-26T08:03Z,2021-08-26T08:38Z,00:34,00:34R,breast,,,2021-08-25T23:03Z,2021-08-25T23:38Z,32.05,32.63333333333333
sleep,2021-08-26T08:38Z,2021-08-26T11:32Z,,,,,,2021-08-25T23:38Z,2021-08-26T02:32Z,32.63333333333333,35.53333333333333
feed,2021-08-26T20:38Z,2021-08-26T20:49Z,00:11,,breast,00:11L,,2021-08-26T11:38Z,2021-08-26T11:49Z,20.633333333333333,20.816666666666666
sleep,2021-08-26T20:49Z,2021-08-26T20:50Z,,,,,,2021-08-26T11:49Z,2021-08-26T11:50Z,20.816666666666666,20.833333333333332
feed,2021-08-26T20:50Z,2021-08-26T21:10Z,00:20,00:15R,breast,00:04L,,2021-08-26T11:50Z,2021-08-26T12:10Z,20.833333333333332,21.166666666666668
sleep,2021-08-26T21:10Z,2021-08-26T21:43Z,,,,,,2021-08-26T12:10Z,2021-08-26T12:43Z,21.166666666666668,21.716666666666665
feed,2021-08-26T21:43Z,2021-08-26T22:06Z,00:23,,breast,00:23L,,2021-08-26T12:43Z,2021-08-26T13:06Z,21.716666666666665,22.1
sleep,2021-08-26T22:06Z,2021-08-26T22:20Z,,,,,,2021-08-26T13:06Z,2021-08-26T13:20Z,22.1,22.333333333333332
feed,2021-08-26T22:20Z,2021-08-26T22:25Z,00:05,00:05R,breast,,,2021-08-26T13:20Z,2021-08-26T13:25Z,22.333333333333332,22.416666666666668
sleep,2021-08-26T22:25Z,2021-08-26T23:28Z,,,,,,2021-08-26T13:25Z,2021-08-26T14:28Z,22.416666666666668,23.466666666666665
feed,2021-08-26T23:28Z,2021-08-26T23:49Z,00:20,,breast,00:20L,,2021-08-26T14:28Z,2021-08-26T14:49Z,23.466666666666665,23.816666666666666
sleep,2021-08-26T23:49Z,2021-08-26T23:51Z,,,,,,2021-08-26T14:49Z,2021-08-26T14:51Z,23.816666666666666,23.85
feed,2021-08-26T23:51Z,2021-08-27T00:08Z,00:17,00:17R,breast,,,2021-08-26T14:51Z,2021-08-26T15:08Z,23.85,24.133333333333333
sleep,2021-08-27T00:08Z,2021-08-27T00:29Z,,,,,,2021-08-26T15:08Z,2021-08-26T15:29Z,24.133333333333333,24.483333333333334
feed,2021-08-27T00:29Z,2021-08-27T00:44Z,00:15,00:15R,breast,,,2021-08-26T15:29Z,2021-08-26T15:44Z,24.483333333333334,24.733333333333334
sleep,2021-08-27T00:44Z,2021-08-27T03:58Z,,,,,,2021-08-26T15:44Z,2021-08-26T18:58Z,24.733333333333334,27.966666666666665
